DN;area_km2
3;3.7769
3;5.6656
3;5.6655
3;0.9442
3;5.665
3;0.9442
3;0.9442
3;59.4934
3;1.8883
3;4.721
3;0.9442
3;0.9442
3;0.9442
3;2.8323
3;2.8323
3;4.7207
3;1.8882
3;0.9441
3;2.8324
3;0.9441
3;3.7765
3;6.6094
3;2.8322
3;19.826
3;2.8322
3;1.8882
3;0.9441
3;1.8881
3;0.9441
3;6.6083
3;0.9441
3;2.832
3;0.944
3;3.7761
3;0.944
3;0.944
3;2.832
3;0.944
3;6.608
3;24.5476
3;0.944
3;0.944
3;0.9439
3;0.9439
3;0.9439
3;0.9439
3;2.8319
3;0.9439
3;0.9439
3;0.9439
3;6.6077
3;2.8317
3;3.7757
3;1.8877
3;0.9439
3;0.9439
3;0.9439
3;0.9439
3;0.9439
3;4.7193
3;0.9439
3;0.9439
3;0.9438
3;0.9438
3;0.9438
3;0.9438
3;0.9438
3;1.8876
3;8.495
3;1.8877
3;0.9438
3;0.9438
3;9.4373
3;1.8876
3;0.9438
3;3.7751
3;0.9438
3;0.9438
3;3.7749
3;0.9438
3;1.8875
3;0.9438
3;3.7749
3;0.9438
3;1.8874
3;0.9437
3;1.8874
3;1.8873
3;1.8873
3;8.4928
3;0.9437
3;2.831
3;0.9436
3;1.8872
3;0.9436
3;0.9436
3;1.8872
3;0.9436
3;1.8872
3;0.9436
3;0.9436
3;0.9436
3;0.9436
3;0.9436
3;0.9436
3;2.8306
3;2.8306
3;1.887
3;0.9435
3;0.9435
3;0.9435
3;0.9435
3;6.6044
3;2.8304
3;0.9435
3;0.9435
3;0.9435
3;3.774
3;1.887
3;3.7739
3;0.9435
3;0.9435
3;1.8869
3;0.9435
3;0.9435
3;4.7172
3;0.9435
3;0.9435
3;0.9435
3;0.9435
3;0.9435
3;0.9435
3;1.8868
3;2.8302
3;0.9434
3;0.9434
3;0.9434
3;6.6035
3;0.9434
3;0.9434
3;0.9434
3;2.8301
3;9.4337
3;0.9434
3;0.9433
3;0.9433
3;0.9433
3;0.9433
3;0.9433
3;0.9433
3;0.9433
3;0.9433
3;0.9433
3;0.9433
3;0.9433
3;1.8865
3;0.9433
3;1.8865
3;1.8865
3;0.9433
3;0.9433
3;0.9433
3;4.7162
3;0.9433
3;0.9433
3;0.9433
3;0.9432
3;4.7161
3;0.9432
3;2.8297
3;0.9432
3;0.9432
3;1.8864
3;0.9432
3;0.9432
3;0.9432
3;0.9432
3;1.8863
3;0.9432
3;2.8295
3;3.7726
3;3.7726
3;1.8862
3;17.9207
3;1.8862
3;0.9431
3;0.9431
3;1.8862
3;0.9431
3;0.9431
3;0.9431
3;0.9431
3;1.8862
3;1.8862
3;0.9431
3;2.8291
3;21.6927
3;36.7855
3;0.943
3;0.943
3;0.943
3;0.943
3;0.943
3;4.7149
3;0.943
3;0.943
3;1.886
3;16.9768
3;6.6009
3;0.943
3;0.943
3;0.943
3;0.943
3;8.4873
3;0.943
3;7.5439
3;1.886
3;3.7717
3;1.8859
3;0.9429
3;0.9429
3;3.7716
3;0.9429
3;0.9429
3;0.9429
3;0.9429
3;0.9429
3;15.0869
3;0.9429
3;0.9429
3;0.9429
3;0.9429
3;4.7142
3;0.9429
3;0.9429
3;1.8857
3;0.9429
3;0.9429
3;1.8858
3;2.8286
3;0.9429
3;0.9429
3;3.7713
3;4.7142
3;0.9428
3;0.9428
3;0.9428
3;1.8857
3;0.9428
3;0.9428
3;1.8856
3;0.9428
3;1.8857
3;0.9428
3;0.9428
3;2.8284
3;3.7711
3;0.9428
3;0.9428
3;0.9428
3;0.9428
3;2.8284
3;1.8855
3;8.4844
3;2.8281
3;0.9427
3;0.9427
3;0.9427
3;0.9427
3;28.2897
3;1.8854
3;0.9427
3;0.9427
3;0.9427
3;0.9427
3;0.9427
3;3.7706
3;2.828
3;0.9427
3;10.3699
3;31.1097
3;0.9426
3;9.4273
3;4.7133
3;0.9426
3;8.484
3;0.9426
3;3.7707
3;2.8279
3;0.9426
3;15.0799
3;2.8277
3;0.9426
3;0.9426
3;0.9426
3;0.9426
3;0.9426
3;0.9426
